function,max_points,n_obs,batch_size,n_cores,runtime_sec
tensor_to_x,"10,000",10,4.0,12.0,18.0
tensor_to_x,"1,000",50,4.0,12.0,9.0
tensor_to_x,100,50,2.0,12.0,8.8
tensor_to_x,100,100,2.0,12.0,17.6
tensor_to_x,100,100,4.0,12.0,17.0
tensor_to_reduced_x,1000,100,2.0,12.0,16.0
tensor_to_reduced_x,1000,2123,2.0,12.0,384.0
tensor_to_reduced_x,5000,2123,2.0,12.0,362.0
tensor_to_reduced_x,1000,2123,2.0,12.0,383.0
compute_stats,inf,2123,2.0,12.0,599.0
tensor_to_reduced_x,100000,2123,2.0,12.0,552.0
tensor_to_reduced_x,100000,2123,2.0,12.0,389.0
tensor_to_reduced_x,200000,2123,2.0,12.0,429.4
batch_kmeans.fit,200000,2123,,12.0,102.0
